L(0,1)		F(1,1)		L(0,2)		L(0,3)		L(0,4)		L(0,5)		L(0,6)		L(0,7)		L(0,8)		L(0,9)		L(0,10)		F(1,2)		F(1,3)		F(1,4)		F(1,5)		F(1,6)		F(1,7)		F(1,8)		F(1,9)		F(1,10)		F(1,11)		F(1,12)		F(1,13)		F(1,14)		F(1,15)		F(1,16)		F(1,17)		T(0,2)		T(0,3)		T(0,4)		T(0,5)		T(0,6)		T(0,7)	
476  Points		474  Points		472  Points		431  Points		399  Points		281  Points		281  Points		219  Points		219  Points		173  Points		163  Points		471  Points		443  Points		437  Points		431  Points		420  Points		399  Points		390  Points		347  Points		344  Points		280  Points		234  Points		234  Points		274  Points		172  Points		162  Points		148  Points		437  Points		420  Points		390  Points		345  Points		274  Points		149  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
3.14957	2.03114	3.18276	2.03541	3.27295	2.11021	4.00089	2.57472	4.75553	3.06843	6.16397	3.96945	6.15878	3.97203	7.02339	4.52186	7.02065	4.52236					3.28792	2.1148	3.42108	2.20521	3.62199	2.33791	4.00321	2.57722	4.10193	2.64145	4.74986	3.06423	4.78975	3.08784	5.52024	3.55529	5.6038	3.60316	6.17703	3.97361	6.76472	4.3499	6.76204	4.35141	6.4962	4.18672							3.62015	2.33014	4.09469	2.63347	4.77338	3.07442	5.59198	3.59947	6.49833	4.17082		
3.16483	2.03144	3.19798	2.03567	3.28697	2.10934	4.01322	2.57061	4.76678	3.06131	6.18023	3.96134	6.17507	3.96392									3.30195	2.11392	3.43706	2.20515	3.63706	2.33666	4.01558	2.57313	4.11524	2.63765	4.76123	3.0572	4.80105	3.08066	5.53259	3.54661	5.61372	3.59272	6.19311	3.96538	6.7816	4.34043	6.77892	4.34193	6.50466	4.17259							3.63528	2.32896	4.10808	2.62977	4.78486	3.06742	5.60179	3.58896	6.50679	4.15683		
3.18009	2.03174	3.2132	2.03592	3.301	2.1085	4.02558	2.56656	4.77804	3.05426	6.19637	3.95324	6.19125	3.95582									3.31599	2.11306	3.45303	2.2051	3.65214	2.33542	4.02799	2.56909	4.12856	2.6339	4.77262	3.05025	4.81238	3.07357	5.54488	3.53798	5.62366	3.58239	6.20908	3.95715	6.79848	4.33104	6.79579	4.33253	6.51315	4.15861							3.65041	2.3278	4.12149	2.62611	4.79636	3.06051	5.61162	3.57857	6.51528	4.14298		
3.19535	2.03204	3.22842	2.03617	3.31505	2.10767	4.03797	2.56256	4.7893	3.04727	6.2124	3.94514	6.20731	3.94771									3.33004	2.11222	3.469	2.20505	3.66723	2.3342	4.04041	2.5651	4.1419	2.63019	4.78401	3.04337	4.82372	3.06655	5.55712	3.52939	5.63364	3.57217	6.22493	3.94894	6.81534	4.32174	6.81266	4.32322	6.52166	4.14478							3.66556	2.32665	4.13492	2.6225	4.80789	3.05368	5.62148	3.56829	6.5238	4.12928		
3.2106	2.03232	3.24363	2.03641	3.32911	2.10685	4.05038	2.55861	4.80056	3.04035	6.22831	3.93704	6.22326	3.93961									3.34412	2.11139	3.48498	2.20499	3.68233	2.333	4.05287	2.56117	4.15526	2.62653	4.79541	3.03656	4.83509	3.05961	5.56931	3.52085	5.64365	3.56208	6.24068	3.94072	6.83221	4.31252	6.82953	4.31398	6.53021	4.13109							3.68071	2.32552	4.14837	2.61894	4.81944	3.04693	5.63137	3.55812	6.53235	4.11572		
3.22585	2.03261	3.25884	2.03665	3.34318	2.10605	4.06282	2.55472	4.81182	3.0335	6.24412	3.92895	6.2391	3.93152									3.3582	2.11058	3.50095	2.20494	3.69743	2.33181	4.06534	2.55729	4.16865	2.62292	4.80682	3.02981	4.84647	3.05275	5.58144	3.51235	5.65369	3.55209	6.25632	3.93252	6.84906	4.30338	6.84638	4.30483	6.53878	4.11755							3.69587	2.32441	4.16184	2.61542	4.83102	3.04025	5.64129	3.54806	6.54093	4.1023		
3.24109	2.03289	3.27405	2.03688	3.35727	2.10527	4.07529	2.55088	4.82309	3.02671	6.25981	3.92086	6.25483	3.92343									3.3723	2.10979	3.51693	2.20489	3.71254	2.33064	4.07785	2.55345	4.18205	2.61935	4.81824	3.02314	4.85788	3.04597	5.59353	3.5039	5.66376	3.54221	6.27185	3.92432	6.8659	4.29431	6.86322	4.29575	6.54738	4.10415							3.71103	2.3233	4.17532	2.61194	4.84262	3.03365	5.65124	3.53811	6.54953	4.08903		
3.25633	2.03316	3.28925	2.03711	3.37138	2.10451	4.08778	2.54709	4.83437	3.01998	6.2754	3.91278	6.27046	3.91535									3.38642	2.10901	3.5329	2.20484	3.72766	2.32948	4.09037	2.54967	4.19547	2.61583	4.82967	3.01653	4.86931	3.03926	5.60556	3.49549	5.67387	3.53244	6.28728	3.91613	6.88272	4.28532	6.88005	4.28675	6.55601	4.09088							3.72621	2.32222	4.18882	2.6085	4.85425	3.02713	5.66121	3.52827	6.55817	4.07589		
3.27157	2.03343	3.30445	2.03734	3.3855	2.10376	4.1003	2.54335	4.84565	3.01332	6.29088	3.9047	6.28597	3.90727									3.40055	2.10825	3.54888	2.2048	3.74279	2.32834	4.10292	2.54594	4.20891	2.61235	4.84111	3.00998	4.88076	3.03262	5.61755	3.48714	5.684	3.52278	6.3026	3.90795	6.89953	4.2764	6.89686	4.27781	6.56466	4.07776							3.74139	2.32114	4.20234	2.60511	4.86591	3.02068	5.67122	3.51854	6.56683	4.06288		
3.2868	2.03369	3.31964	2.03756	3.39963	2.10303	4.11284	2.53966	4.85693	3.00673	6.30626	3.89664	6.30138	3.8992									3.41469	2.1075	3.56486	2.20475	3.75792	2.32721	4.1155	2.54226	4.22237	2.60891	4.85255	3.0035	4.89224	3.02606	5.62949	3.47882	5.69416	3.51322	6.31782	3.89978	6.91631	4.26754	6.91364	4.26894	6.57335	4.06476							3.75657	2.32008	4.21588	2.60176	4.87759	3.01431	5.68125	3.50891	6.57552	4.05001		
