Sym		Asym		Mode 1		Mode 2		Mode 3		Mode 4		Mode 5		Mode 6	
502  Points		543  Points		494  Points		448  Points		261  Points		257  Points		223  Points		224  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.281536	1.95441	0.178339	1.00488	0.541234	3.76912	0.911924	6.13964	1.27076	8.10078	1.73421	10.9686	2.02509	12.7931	2.05338	13.0944
0.285445	1.94848	0.182573	1.01477	0.550212	3.76751	0.91236	6.10669	1.27546	8.00602	1.73491	10.8059	2.02355	12.589	2.05187	12.8839
0.289367	1.94284	0.186837	1.02454	0.559177	3.76586	0.912959	6.06251	1.28021	7.91439	1.73561	10.6482	2.02204	12.3911	2.0504	12.68
0.293301	1.93745	0.191128	1.03421	0.568126	3.76416	0.913723	6.00768	1.285	7.82573	1.73634	10.4952	2.02057	12.1994	2.04895	12.4824
0.297247	1.93232	0.195446	1.04377	0.57706	3.76242	0.91466	5.94289	1.28983	7.73992	1.73707	10.3468	2.01913	12.0134	2.04755	12.2908
0.301204	1.92741	0.199791	1.05323	0.585978	3.76062	0.915777	5.86892	1.2947	7.65682	1.73782	10.2027	2.01773	11.8329	2.04617	12.1049
0.305173	1.92273	0.204163	1.06258	0.594879	3.75878	0.917082	5.78663	1.2996	7.57631	1.73858	10.0628	2.01636	11.6578	2.04483	11.9245
0.309152	1.91826	0.208559	1.07183	0.603763	3.75689	0.918412	5.707	1.30455	7.49828	1.73936	9.92679	2.01502	11.4877	2.04352	11.7494
0.313142	1.91399	0.212981	1.08097	0.612629	3.75495	0.919768	5.62991	1.30953	7.42263	1.74015	9.79465	2.01372	11.3225	2.04225	11.5793
0.317141	1.9099	0.217427	1.09001	0.621477	3.75295	0.92115	5.55524	1.31455	7.34925	1.74095	9.66618	2.01246	11.162	2.04101	11.4141
0.32115	1.90598	0.221897	1.09896	0.630306	3.7509	0.922558	5.48291	1.3196	7.27804	1.74177	9.54122	2.01123	11.006	2.0398	11.2535
0.325169	1.90223	0.22639	1.1078	0.639114	3.74878	0.923993	5.4128	1.32469	7.20892	1.7426	9.41964	2.01004	10.8542	2.03863	11.0974
0.329196	1.89865	0.230906	1.11654	0.647902	3.74661	0.925456	5.34484	1.32982	7.1418	1.74344	9.30131	2.00888	10.7067	2.0375	10.9456
0.333232	1.89521	0.235444	1.12518	0.656668	3.74437	0.926946	5.27892	1.33497	7.07659	1.7443	9.18611	2.00776	10.5631	2.0364	10.7979
0.337277	1.89191	0.240004	1.13373	0.66541	3.74206	0.928465	5.21497	1.34016	7.01323	1.74518	9.07391	2.00668	10.4233	2.03533	10.6542
0.34133	1.88874	0.244585	1.14218	0.674129	3.73969	0.930014	5.15292	1.34538	6.95163	1.74607	8.9646	2.00563	10.2873	2.0343	10.5142
0.345391	1.88571	0.249187	1.15054	0.682823	3.73724	0.931592	5.09269	1.35064	6.89173	1.74698	8.85808	2.00463	10.1548	2.03331	10.378
0.34946	1.88279	0.253808	1.1588	0.691491	3.73471	0.933201	5.03421	1.35592	6.83346	1.7479	8.75425	2.00366	10.0258	2.03235	10.2453
0.353536	1.88	0.25845	1.16696	0.700131	3.7321	0.934842	4.97743	1.36124	6.77676	1.74884	8.65301	2.00273	9.90003	2.03143	10.116
0.357619	1.87731	0.263111	1.17504	0.708743	3.72941	0.936515	4.92227	1.36658	6.72157	1.74979	8.55426	2.00184	9.77748	2.03055	9.98999
0.36171	1.87472	0.26779	1.18302	0.717323	3.72663	0.938223	4.8687	1.37196	6.66783	1.75076	8.45793	2.00099	9.65801	2.0297	9.86716
0.365808	1.87224	0.272488	1.19092	0.725871	3.72375	0.939965	4.81664	1.37736	6.6155	1.75174	8.36392	2.00018	9.54152	2.02889	9.74739
0.369912	1.86985	0.277204	1.19872	0.734385	3.72077	0.941745	4.76606	1.38209	6.57099	1.75275	8.27216	1.99941	9.42791	2.02812	9.63058
0.374023	1.86756	0.281937	1.20644	0.742864	3.71768	0.943563	4.71691	1.38614	6.53383	1.75377	8.18258	1.99868	9.31707	2.02739	9.51663
0.37814	1.86535	0.286687	1.21406	0.751303	3.71447	0.94542	4.66914	1.3895	6.50363	1.7548	8.09509	1.99799	9.20892	2.02669	9.40544
0.382264	1.86322	0.291454	1.2216	0.759702	3.71115	0.947321	4.62271	1.39216	6.48009	1.75586	8.00963	1.99734	9.10336	2.02603	9.29691
0.386393	1.86118	0.296238	1.22906	0.768056	3.70769	0.949265	4.5776	1.39412	6.46296	1.75693	7.92614	1.99673	9.00033	2.02541	9.19097
0.390529	1.85921	0.301037	1.23643	0.776365	3.70408	0.951257	4.53376	1.39538	6.45207	1.75802	7.84456	1.99617	8.89972	2.02483	9.08753
0.394671	1.85731	0.305851	1.24372	0.784623	3.70033	0.953299	4.49117	1.39719	6.43654	1.75913	7.76481	1.99565	8.80147	2.02429	8.9865
0.398818	1.85548	0.310681	1.25092	0.792826	3.6964	0.955395	4.4498	1.39916	6.4198	1.76026	7.68685	1.99517	8.70551	2.02378	8.88781
0.402971	1.85372	0.315525	1.25805	0.800972	3.6923	0.957548	4.40962	1.40185	6.39727	1.76141	7.61062	1.99473	8.61176	2.02332	8.79139
0.40713	1.85203	0.320384	1.26509	0.809055	3.688	0.959762	4.37062	1.40525	6.36917	1.76257	7.53606	1.99434	8.52015	2.02289	8.69717
0.411294	1.85039	0.325257	1.27205	0.817069	3.68349	0.962043	4.33278	1.40938	6.33574	1.76376	7.46313	1.99399	8.43062	2.02251	8.60508
0.415463	1.84882	0.330143	1.27894	0.825009	3.67875	0.964396	4.29608	1.41424	6.2973	1.76496	7.39178	1.99369	8.34312	2.02216	8.51505
0.419637	1.8473	0.335043	1.28574	0.832869	3.67375	0.966827	4.26051	1.41985	6.25417	1.76619	7.32196	1.99343	8.25757	2.02186	8.42703
0.423817	1.84584	0.339955	1.29247	0.84064	3.66847	0.969343	4.22608	1.42547	6.21207	1.76744	7.25362	1.99322	8.17393	2.02159	8.34095
0.428002	1.84443	0.344881	1.29912	0.848314	3.66289	0.971953	4.19277	1.43112	6.17095	1.76871	7.18673	1.99306	8.09213	2.02137	8.25675
0.432191	1.84306	0.349818	1.3057	0.855883	3.65697	0.974664	4.1606	1.43679	6.13078	1.77	7.12124	1.99294	8.01213	2.02119	8.17439
0.436386	1.84175	0.354768	1.3122	0.863335	3.65068	0.977487	4.12956	1.44249	6.09154	1.77131	7.05711	1.99287	7.93387	2.02105	8.09381
0.440585	1.84049	0.359729	1.31863	0.87066	3.64399	0.980432	4.09966	1.4482	6.05319	1.77264	6.99431	1.99284	7.85731	2.02095	8.01496
0.444789	1.83927	0.364702	1.32499	0.877845	3.63685	0.983512	4.07093	1.45394	6.01571	1.774	6.9328	1.99287	7.7824	2.0209	7.93778
0.448998	1.83809	0.369686	1.33127	0.884877	3.62923	0.986739	4.04337	1.4597	5.97906	1.77538	6.87254	1.99294	7.7091	2.02088	7.86225
0.453211	1.83696	0.374681	1.33748	0.891743	3.62109	0.990125	4.01701	1.46548	5.94321	1.7766	6.82102	1.99306	7.63735	2.02091	7.7883
0.457429	1.83587	0.379686	1.34363	0.898428	3.61238	0.993686	3.99187	1.47127	5.90815	1.77766	6.77782	1.99323	7.56713	2.02099	7.71589
0.461652	1.83481	0.384702	1.3497	0.904917	3.60306	0.997434	3.96796	1.47709	5.87385	1.77854	6.74259	1.99345	7.49839	2.0211	7.64499
0.465879	1.8338	0.389728	1.35571	0.911199	3.5931	1.00138	3.9453	1.48292	5.84029	1.77925	6.71504	1.99373	7.43109	2.02127	7.57556
0.47011	1.83282	0.394763	1.36164	0.917259	3.58246	1.00554	3.9239	1.48878	5.80743	1.77977	6.69495	1.99405	7.36519	2.02147	7.50755
0.474346	1.83187	0.399808	1.36752	0.923089	3.57114	1.00992	3.90376	1.49465	5.77527	1.7801	6.68217	1.99443	7.30066	2.02172	7.44093
0.478586	1.83096	0.404862	1.37332	0.928681	3.55912	1.01453	3.88486	1.50054	5.74377	1.78059	6.6639	1.99486	7.23747	2.02202	7.37567
0.482831	1.83009	0.409925	1.37906	0.934031	3.5464	1.01937	3.86718	1.50645	5.71293	1.78112	6.64418	1.99534	7.17558	2.02236	7.31172
0.487079	1.82924	0.414998	1.38474	0.939139	3.533	1.02443	3.85069	1.51237	5.68271	1.78185	6.61758	1.99587	7.11496	2.02275	7.24906
0.491333	1.82843	0.420078	1.39035	0.94401	3.51896	1.02972	3.83534	1.51831	5.6531	1.78277	6.58431	1.99646	7.05558	2.02318	7.18765
0.49559	1.82765	0.425167	1.3959	0.94865	3.50433	1.03523	3.82106	1.52426	5.62409	1.78391	6.54461	1.99711	6.9974	2.02367	7.12747
0.499851	1.8269	0.430264	1.40138	0.953071	3.48915	1.04094	3.80778	1.53023	5.59565	1.78526	6.49877	1.99771	6.94767	2.0242	7.06847
0.504117	1.82617	0.435369	1.40681	0.957286	3.4735	1.04684	3.79542	1.53622	5.56777	1.78683	6.44714	1.99826	6.90597	2.02477	7.01065
0.508387	1.82547	0.440481	1.41218	0.96131	3.45744	1.05291	3.7839	1.54222	5.54043	1.78844	6.3965	1.99874	6.87196	2.02532	6.96118
0.512661	1.8248	0.445601	1.41748	0.96516	3.44103	1.05914	3.77313	1.54823	5.51362	1.79007	6.34684	1.99913	6.84537	2.02581	6.91969
0.51694	1.82416	0.450728	1.42273	0.968852	3.42435	1.06551	3.76305	1.55426	5.48732	1.79173	6.29814	1.99943	6.82599	2.02624	6.88583
0.521222	1.82354	0.455862	1.42792	0.972401	3.40745	1.072	3.75357	1.56031	5.46152	1.79341	6.25037	1.99963	6.81365	2.02659	6.85934
0.525509	1.82295	0.461003	1.43305	0.975824	3.39041	1.07859	3.74462	1.56636	5.4362	1.79513	6.2035	1.99991	6.79602	2.02685	6.84003
0.529799	1.82238	0.466151	1.43812	0.979134	3.37326	1.08528	3.73614	1.57243	5.41136	1.79688	6.15753	2.00023	6.777	2.02702	6.82774
