S0		A0		S1		S2		S3		S4		A1		A2		A3		A4	
477  Points		478  Points		404  Points		288  Points		221  Points		174  Points		435  Points		354  Points		239  Points		178  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.56031	3.10187	0.871301	1.72715	2.31671	4.63229	3.27542	6.28302	4.59439	8.46924	6.5733	12.1362	2.10934	4.22495	3.46201	6.44792	4.91244	9.07859	5.71905	10.6757
1.57147	3.07915	0.887615	1.73428	2.33637	4.60408	3.28143	6.26559	4.60058	8.36756	6.57565	11.9783	2.12802	4.20066	3.46644	6.40245	4.92368	8.97768	5.72594	10.5442
1.58236	3.05658	0.903931	1.74121	2.35643	4.57746	3.28797	6.24684	4.60691	8.26878	6.57807	11.8247	2.14662	4.17691	3.47	6.36714	4.93494	8.8795	5.73297	10.4165
1.59302	3.03418	0.920249	1.74795	2.37686	4.5523	3.29688	6.22166	4.61338	8.17281	6.58054	11.6753	2.16514	4.15368	3.47265	6.34152	4.94624	8.78393	5.74015	10.2924
1.60346	3.012	0.936568	1.75451	2.39765	4.52851	3.30816	6.19033	4.61998	8.07954	6.58309	11.5298	2.18357	4.13093	3.47437	6.32529	4.95757	8.69087	5.74747	10.1718
1.6137	2.99006	0.952886	1.76089	2.41876	4.50597	3.32183	6.15318	4.62671	7.98886	6.5857	11.3881	2.20192	4.10863	3.47685	6.30216	4.96893	8.60021	5.75494	10.0545
1.62378	2.96839	0.969204	1.7671	2.44017	4.4846	3.3379	6.11062	4.63359	7.9007	6.58837	11.2501	2.22017	4.08677	3.47957	6.27729	4.98031	8.51187	5.76256	9.94046
1.63369	2.94701	0.985521	1.77314	2.46186	4.46429	3.3564	6.06308	4.64061	7.81495	6.59111	11.1155	2.23832	4.0653	3.48332	6.24393	4.99171	8.42575	5.77032	9.82951
1.64347	2.92594	1.00184	1.77902	2.48381	4.44498	3.37494	6.01688	4.64777	7.73153	6.59392	10.9844	2.25637	4.04422	3.48813	6.20248	5.00313	8.34177	5.77824	9.72156
1.65313	2.9052	1.01815	1.78475	2.50598	4.42657	3.39354	5.97196	4.65508	7.65035	6.59678	10.8566	2.27431	4.0235	3.49407	6.15343	5.01456	8.25984	5.78631	9.61649
1.66268	2.88481	1.03446	1.79032	2.52837	4.40901	3.41219	5.92827	4.66253	7.57136	6.59972	10.7319	2.29214	4.00311	3.50119	6.09735	5.02601	8.17989	5.79454	9.5142
1.67214	2.86477	1.05076	1.79575	2.55095	4.39222	3.4309	5.88578	4.67014	7.49446	6.60272	10.6102	2.30986	3.98304	3.50958	6.03488	5.03747	8.10185	5.80292	9.41461
1.68152	2.84511	1.06707	1.80104	2.57371	4.37614	3.44965	5.84442	4.67789	7.41959	6.60578	10.4915	2.32746	3.96326	3.51819	5.97436	5.04894	8.02563	5.81146	9.3176
1.69085	2.82582	1.08337	1.80619	2.59661	4.36071	3.46845	5.80417	4.6858	7.34668	6.60891	10.3757	2.34493	3.94377	3.52704	5.91571	5.06042	7.95119	5.82016	9.22311
1.70012	2.80691	1.09966	1.81122	2.61965	4.34588	3.48731	5.76498	4.69386	7.27566	6.61211	10.2625	2.36228	3.92455	3.53612	5.85888	5.0719	7.87845	5.82902	9.13103
1.70935	2.7884	1.11595	1.81611	2.64281	4.33161	3.50621	5.7268	4.70208	7.20649	6.61537	10.152	2.37951	3.90558	3.54543	5.80379	5.08338	7.80736	5.83804	9.0413
1.71855	2.77027	1.13223	1.82088	2.66608	4.31784	3.52517	5.68962	4.71046	7.13909	6.61869	10.0441	2.3966	3.88685	3.55498	5.75039	5.09487	7.73785	5.84722	8.95383
1.72774	2.75253	1.14851	1.82553	2.68943	4.30453	3.54418	5.65338	4.719	7.07342	6.62208	9.93864	2.41355	3.86834	3.56477	5.69862	5.10635	7.66987	5.85656	8.86856
